improve_chem_id	canSMILES
Drug_1065	C[C@H](/N=C(/NC#N)Nc1cccc2ncccc12)c1ccccc1
Drug_1066	O=C(C=Cc1ccccc1)NC(NC(=S)Nc1cccc2cccnc12)C(Cl)(Cl)Cl
Drug_1067	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
Drug_1068	CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O
Drug_1069	CC(Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
Drug_107	CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C/c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1
Drug_1070	O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(OC[C@H](O)CO)cc21
Drug_1071	Cc1cc(O)c(-c2ccc([C@@H](C)CN(C)C)cc2)c2c1nc(O)c1sccc12
Drug_1072	CC(C)Oc1ccc(C(=O)N[C@H](CNC(=O)CN(C)C)Cc2ccc(-c3cn4cccc([C@H](C)O)c4n3)cc2)cc1Cl
Drug_1073	Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1
Drug_1074	Cc1nc(Nc2[nH]nc3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1
Drug_1075	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C
Drug_1076	Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
Drug_1077	COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O
Drug_1078	COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-]
Drug_1079	Cc1ccc(C(=O)N(CCCN)C(c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1
Drug_108	Cc1nc(-c2ccc(Cl)cc2)cn2c1nc1ccccc12
Drug_1080	COC[C@H](NC(=O)c1cnc(C)s1)C(=O)N[C@@H](COC)C(=O)N[C@@H](Cc1ccccc1)C(=O)[C@@]1(C)CO1
Drug_1081	Cc1c(-c2c(-c3ccc(F)o3)sc3ncnc(OC(Cc4ccccc4OCc4ccnn4CC(F)(F)F)C(=O)O)c23)ccc(OCCN2CCN(C)CC2)c1Cl
Drug_1082	CC(C)CC(NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
Drug_1083	Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)C2(C#N)CC2)C(C)(C)C)cc1
Drug_1084	CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1
Drug_1085	Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1
Drug_1086	CC(C(=O)Nc1cccc(NC=C2C(=O)C=Cc3ccccc32)c1)c1ccccc1
Drug_1087	O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
Drug_1088	O=C(NOCC(O)CO)c1cc(Br)c(F)c(F)c1Nc1ccc(I)cc1F
Drug_1089	O=C(NCC(=O)N1CCC(NC2CCC(O)(c3ccc(-c4ncccn4)cn3)CC2)C1)c1cccc(C(F)(F)F)c1
Drug_109	Cn1ncnc1[C@H]1c2nnc(O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1
Drug_1090	O=C(NC[C@H](O)CN1CCc2ccccc2C1)c1cc(NC2COC2)ncn1
Drug_1091	O=C(NCCN1CCOCC1)Nc1nc2ccc(Sc3nnc4ccc(-c5ccc(F)cc5)nn34)cc2s1
Drug_1092	Cc1nc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc2n1C(C)C
Drug_1093	CC(C)C(O)(C(C)C)C(C)C
Drug_1094	C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(C#Cc3ccncc3)cc2O[C@@H]1CN(C)C(=O)Nc1ccc2c(c1)OCO2
Drug_1095	CC(=O)Oc1ccc(OC(Oc2ccccc2)c2ccccc2)cc1
Drug_1096	Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12
Drug_1097	C[C@@H](NC(=O)C[C@@H]1CC[C@@H](NC(=O)CN2CCOCC2)[C@H](CO)O1)c1ccccc1
Drug_1098	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O
Drug_1099	CNC[C@@H]1Oc2ccc(NS(C)(=O)=O)cc2CC(=O)N([C@H](C)CO)C[C@@H]1C
Drug_11	Oc1ncc(F)c(O)n1
Drug_110	Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1
Drug_1100	CNC[C@@H]1Oc2ccc(N(C)C)cc2CC(=O)N([C@@H](C)CO)C[C@@H]1C
Drug_1101	CNC[C@@H]1Oc2ccc(NC(=O)CCN3CCOCC3)cc2CC(=O)N([C@H](C)CO)C[C@@H]1C
Drug_1102	C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)CCC(F)(F)F)ccc2O[C@H]1CN(C)S(=O)(=O)c1ccc(Cl)cc1
Drug_1103	CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
Drug_1104	Nc1cc(C(F)F)c(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cn1
Drug_1105	CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C
Drug_1106	Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2
Drug_1107	Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1
Drug_1108	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)c3ccncc3)cc2CC1=O
Drug_1109	Cc1cc(N2CCOCC2)cc2c1NC(=C1C(=O)N=CC=C1NCC(O)c1cccc(Cl)c1)N2
Drug_111	Cc1ccccc1-c1nc2c(N)nc(N)nc2nc1N
Drug_1110	Cc1cc(C(C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1
Drug_1111	CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
Drug_1112	CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1
Drug_1113	CC(C)n1cc(-c2ccc3c(c2)N(C)CC3)c2c(NS(=O)(=O)c3ccn(C)n3)ccnc21
Drug_1114	CCc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21
Drug_1115	CC(NC(=O)/C(C#N)=C/c1ccc2[nH]ccc2c1)c1ccccc1
Drug_1116	CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
Drug_1117	CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCNc1ccc([N+](=O)[O-])cc1N=[N+]=[N-]
Drug_1118	COCCOc1cnc2ccn([C@H](C)c3nnc4c(F)cc(-c5cnn(C)c5)cn34)c(=O)c2c1
Drug_1119	CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C
Drug_112	CC(C)(C)c1[nH]cnc1C=c1[nH]c(=O)c(=Cc2ccccc2)[nH]c1=O
Drug_1120	Cn1cc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCN5CCOCC5)cn4)c3)n2)cn1
Drug_1121	NC(Cc1ccccc1)c1nn[nH]n1
Drug_1122	Cc1cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c1O
Drug_1123	CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(F)cc2F)s1
Drug_1124	C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1
Drug_1125	COC(=O)NC/C=C\c1nc(CC/C=C\C(=O)OC2CC3CC(=O)O[C@@H](/C=C/CC(C)C)C[C@@H]4CCC(C)C(C[C@@H](OC)CC(C2)O3)O4)co1
Drug_1126	C=CC(=O)Nc1cccc(Nc2nc(NC3CCC(N(C)C)CC3)nc3c2ncn3C(C)C)c1
Drug_1127	CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
Drug_1128	Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21
Drug_1129	CCC(C)SSc1ncc[nH]1
Drug_113	C/N=C(/NC#N)NCCSCc1[nH]cnc1C
Drug_1130	C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(C#Cc3ccccc3F)cc2O[C@H]1CN(C)C(=O)Cc1ccncc1
Drug_1131	CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
Drug_1132	CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c(-c2[nH]c3cc(F)ccc3c2C[C@@H]2C[C@H](O)CN2C(=O)[C@H](CC)NC(=O)[C@H](C)NC)[nH]c2cc(F)ccc12
Drug_1133	CC(C)c1cccc(C(=O)NCCN(C)C)c1[N+](=O)[O-]
Drug_1134	CC(C)(C)C[C@H]1NC(C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12
Drug_1135	CC[C@H](C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)nc3O)cc(-c3ccc(N4CCNCC4)nc3)cc21
Drug_1136	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
Drug_1137	O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2c1
Drug_1138	FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1
Drug_1139	CC(O)C(NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)N1)C(N)=O
Drug_114	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
Drug_1140	CCCC[C@@H](C)/C=C(C)/C=C(\C)C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O
Drug_1141	NC(=O)[C@@H](CC1CC1)[C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c2cccc(F)c2NC1=O
Drug_1142	CC[C@H](NC(=O)[C@H](CS(=O)(=O)CC1CC1)N[C@@H](c1ccc(F)cc1)C(F)(F)F)C(=O)C(=O)NC1CC1
Drug_1143	COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1
Drug_1144	C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
Drug_1145	CC(C)N(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C1CC(CCc2nc3cc(C(C)(C)C)ccc3[nH]2)C1
Drug_1146	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C(O)[C@H]1O
Drug_1147	CC(=O)O[C@H]1C(N(C)C(=O)c2ccccc2)CC[C@]2(C)C3CC[C@@]4(C)C(CC(O)[C@@H]4C(C)N(C)C)[C@@H]3CCC12
Drug_1148	CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](OC3C[C@H](OC)C(O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
Drug_1149	O=C1c2ccccc2-c2nc3nonc3nc21
Drug_115	Cn1ncc2c(NCc3ccccc3)ncnc21
Drug_1150	N#CCCNc1nonc1-c1nc2ccccc2n1CC(=O)c1ccc(NC(=O)[C@@H](N)CCCCN)cc1
Drug_1151	CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1
Drug_1152	CC(C)CNc1ccnc(NCc2csc(-c3ccccc3)n2)n1
Drug_1153	COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccc(F)cc5)cc4F)c3s2)nc1
Drug_1154	COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)cc4F)c3s2)nc1
Drug_1155	CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1
Drug_1156	Cc1onc(C(=O)N2CCN(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CC2)c1[N+](=O)[O-]
Drug_1157	Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1.O=S(=O)([O-])O
Drug_1158	Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1
Drug_1159	CC[C@@H]1O[C@H](O[C@@H](c2c[nH]cn2)[C@H](NC(=O)c2nc([C@H](CC(N)=O)NC[C@@H](N)C(N)=O)nc(N)c2C)C(=O)N[C@H](C)[C@H](O)[C@H](C)C(=O)N[C@@H](C(=O)NCCc2nc(-c3nc(C(=O)NCCCCN=C(N)N)cs3)cs2)[C@@H](C)O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](OC(N)=O)[C@@H]2O)[C@H](C)[C@@H]1C
Drug_116	CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F
Drug_1160	C[C@H](c1ccccc1)N1C(=O)[C@@H](O)[C@H]1[C@H](CO)OCc1ccccc1
Drug_1161	CN1C(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C(c2ccccc2)c2ccccc21
Drug_1162	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(=O)O)[C@H]21
Drug_1163	CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)C1C
Drug_1164	C[C@H](O)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1
Drug_1165	Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1
Drug_1166	C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCN2CCN(C)CC2)C(=O)[C@@H]1c1ccc(Cl)cc1
Drug_1167	CC(C)[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C
Drug_1168	CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
Drug_1169	CC(C)CC1c2[nH]c3ccccc3c2C[C@H]2C(=O)NC(CCC(=O)OC(C)(C)C)C(=O)N12
Drug_117	CCNC(=O)COc1ccc(Cl)cc1Cl
Drug_1170	CC[C@@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O
Drug_1171	CC1CC(C)CN(c2cc(Nc3ccccc3C(=O)O)c3c4c(onc24)-c2ccccc2C3=O)C1
