DrugID	SMILES	canSMILES	NAME	PUBCHEM_ID	CAS_ID	improve_chem_id
CCLE.19	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21	AZD6244			Drug_685
CCLE.2	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1	Nilotinib			Drug_413
CCLE.20	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)Cl)F	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F	PLX4720			Drug_564
CCLE.21	CN1C2=C(C=C(C=C2)OC3=CC(=NC=C3)C4=NC=C(N4)C(F)(F)F)N=C1NC5=CC=C(C=C5)C(F)(F)F	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21	RAF265			Drug_870
CCLE.22	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	TAE684			Drug_1520
CCLE.23	CN1CCN(CC1)C2=CC3=C(C=C2)NC(=C4C(=C5C(=NC4=O)C=CC=C5F)N)N3	CN1CCN(c2ccc3c(c2)NC(=C2C(=O)N=c4cccc(F)c4=C2N)N3)CC1	TKI258			Drug_643
CCLE.24	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC.Cl	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl	Erlotinib			Drug_883
CCLE.3	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC	C=CCNC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O	17-AAG			Drug_614
CCLE.4	CC1=C(NC(=C1C(=O)N2CCCC2CN3CCCC3)C)C=C4C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O	Cc1[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCCC1CN1CCCC1	PHA-665752			Drug_802
CCLE.5	CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1	Lapatinib			Drug_435
CCLE.6	CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl	COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1	Nutlin-3			Drug_1507
CCLE.7	CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1	AZD0530			Drug_665
CCLE.8	CC(C1=C(C=C(C=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)cc(F)cc1Cl	PF2341066			Drug_1005
CCLE.9	CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)N)NC(=O)C(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OC(C)(C)C)O	CC(C)CC(NC(=O)C(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(Cc1ccccc1)C(N)=O	L-685458			Drug_1040
CTRP.1	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1C[C@H](Br)C2=O	C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)[C@@H](Br)C[C@@H]12	16-beta-bromoandrosterone			Drug_637
CTRP.10	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C	CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1	ABT-263			Drug_1103
CTRP.100	ClC1=C(NCC=C)C(=O)c2ccccc2C1=O	C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O	BRD-K45681478			Drug_1499
CTRP.101	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)Oc2ccc(NC(=O)Cc3cn(C)c4ccccc34)cc2C1=O	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)Oc2ccc(NC(=O)Cc3cn(C)c4ccccc34)cc2C1=O	BRD-K48334597			Drug_1270
CTRP.102	Cc1n[nH]c2NC3=C([C@@H](c12)c1ccccc1)C(=O)CC(C)(C)C3	Cc1n[nH]c2c1[C@@H](c1ccccc1)C1=C(CC(C)(C)CC1=O)N2	BRD-K48477130			Drug_138
CTRP.103	OC[C@@H]1O[C@@H](CC(=O)NCc2ccncn2)CC[C@H]1NC(=O)c1ccc(F)cc1	O=C(C[C@H]1CC[C@@H](NC(=O)c2ccc(F)cc2)[C@H](CO)O1)NCc1ccncn1	BRD-K49290616			Drug_47
CTRP.104	COc1ccccc1-c1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NCc1ccncc1	COc1ccccc1-c1cccc(-c2nc(C(=O)NCc3ccncc3)cc3c2[C@H](CCO)N([S@@](=O)C(C)(C)C)C3)c1	BRD-K50799972			Drug_1470
CTRP.105	ONC(=O)c1cccc(c1)C(=O)Nc1ccccc1	O=C(NO)c1cccc(C(=O)Nc2ccccc2)c1	BRD-K51490254			Drug_419
CTRP.106	CC(C)n1ncc2c(cc(Br)cc12)C(=O)NCc1c(C)cc(C)[nH]c1=O	Cc1cc(C)c(CNC(=O)c2cc(Br)cc3c2cnn3C(C)C)c(=O)[nH]1	BRD-K51831558			Drug_987
CTRP.107	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)NC3CCCCC3)cc2CC1=O	C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)NC3CCCCC3)ccc2O[C@H]1CN(C)C(=O)Nc1cccc2ccccc12	BRD-K52037352			Drug_1271
CTRP.108	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)Nc5ccccc5)cccc4C1=O	C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)Nc3ccccc3)c2O[C@@H]1CN(C)Cc1ccc(C(=O)Nc2ccccc2N)cc1	BRD-K55116708			Drug_1246
CTRP.109	CCC(C)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)O)NC(=O)CCNC(=O)C)C(=O)NC1(C)CCCC=CCCCC(C)(NC(=O)C(CCCNC(=N)N)NC(=O)C(CS)NC(=O)C(CC(C)C)NC1=O)C(=O)NC(Cc2c[nH]cn2)C(=O)NC(Cc3c[nH]cn3)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N	CCC(C)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)O)NC(=O)CCNC(C)=O)C(=O)NC1(C)CCCC=CCCCC(C)(C(=O)NC(Cc2c[nH]cn2)C(=O)NC(Cc2c[nH]cn2)C(=O)NC(CO)C(=O)NC(C(N)=O)C(C)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CS)NC(=O)C(CC(C)C)NC1=O	BRD-K55473186			Drug_1206
CTRP.11	CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]	CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]	ABT-737			Drug_1116
CTRP.110	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)[C@@H](C)O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC1=O)C(C)C)C(C)C)[C@@H](C)O	BRD-K58730230			Drug_1198
CTRP.111	Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1	Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(C(=O)NCCc2ccncc2)cc1	BRD-K61166597			Drug_606
CTRP.112	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc4cc(C#Cc5ccncc5)ccc4S1(=O)=O	C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(C#Cc3ccncc3)cc2O[C@@H]1CN(C)C(=O)Nc1ccc2c(c1)OCO2	BRD-K63431240			Drug_1094
CTRP.113	COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]1Oc2c(NC(=O)Nc3cccc4ccccc34)cccc2C(=O)N(C[C@H]1C)[C@@H](C)CO	COc1ccc(S(=O)(=O)N(C)C[C@@H]2Oc3c(NC(=O)Nc4cccc5ccccc45)cccc3C(=O)N([C@@H](C)CO)C[C@H]2C)cc1	BRD-K64610608			Drug_1518
CTRP.114	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O	C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)CCC(F)(F)F)ccc2O[C@H]1CN(C)S(=O)(=O)c1ccc(Cl)cc1	BRD-K66453893			Drug_1102
CTRP.115	Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1	Nc1ccc(-c2cccs2)cc1NC(=O)C1=CCCC1	BRD-K66532283			Drug_758
CTRP.116	COc1ccc(cc1)S(=O)(=O)N(C(=O)C)c2ccccc2C=Cc3cc[n+]([O-])cc3	COc1ccc(S(=O)(=O)N(C(C)=O)c2ccccc2C=Cc2cc[n+]([O-])cc2)cc1	BRD-K70511574			Drug_1310
CTRP.117	OC(=O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1	O=C(O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1	BRD-K71781559			Drug_22
CTRP.118	COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c5ccccc5OCCO)[C@@H]([C@@H](OC4=O)c6ccccc6)c7ccccc7)C(=O)N8CCN(CC8)c9ncccn9)c2c1)C(=O)OC	COC(=O)C(CC#Cc1ccc2c(c1)[C@]1(C(=O)N2)[C@H](c2ccccc2OCCO)N2[C@H](c3ccccc3)[C@H](c3ccccc3)OC(=O)[C@H]2[C@@H]1C(=O)N1CCN(c2ncccn2)CC1)C(=O)OC	BRD-K71935468			Drug_1555
CTRP.119	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2c(NC(=O)c3ccncc3)cccc2C1=O	C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)c3ccncc3)c2O[C@H]1CN(C)C(=O)Nc1cccc2ccccc12	BRD-K75293299			Drug_1058
CTRP.12	CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N	CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1	ABT-888			Drug_859
CTRP.120	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O	BRD-K78574327			Drug_1098
CTRP.121	CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@](C)(CCCCCC\C=C/CCC[C@](C)(NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(C)=O)[C@@H](C)O	CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@]1(C)CCCCCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC1=O)[C@@H](C)O	BRD-K79669418			Drug_1274
CTRP.122	CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1	CC(=O)N1CCC(C(=O)Nc2cc(-c3cccs3)ccc2N)CC1	BRD-K80183349			Drug_399
CTRP.123	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2c(NC(=O)c3cc(C)nn3C)cccc2C1=O	Cc1cc(C(=O)Nc2cccc3c2O[C@H](CN(C)C)[C@@H](C)CN([C@H](C)CO)C3=O)n(C)n1	BRD-K84807411			Drug_1053
CTRP.124	CC(=O)N[C@H]1C[C@H](C1)C(=O)Nc1cc(ccc1N)-c1ccc(F)cc1	CC(=O)N[C@H]1C[C@@H](C(=O)Nc2cc(-c3ccc(F)cc3)ccc2N)C1	BRD-K85133207			Drug_79
CTRP.125	CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@@H](C)[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC	CO[C@H]1CN(C)C(=O)c2cccc(C#N)c2OC[C@H]2O[C@@H](CC[C@H]2OC)CCN(C)C(=O)[C@H]1C	BRD-K86535717			Drug_686
CTRP.126	COc1ccc(Cn2ccc3ccc(cc23)C(=O)NO)cc1	COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1	BRD-K88742110			Drug_1373
CTRP.127	CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1	CC(=O)N[C@@H]1C/C=C/CCC(=O)N[C@H](c2ccccc2)COC1=O	BRD-K90370028			Drug_618
CTRP.128	COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12	COc1ccc(S(=O)(=O)N(C(C)=O)c2ccc(OC(C)=O)c3ccccc23)cc1[N+](=O)[O-]	BRD-K92856060			Drug_1393
CTRP.129	COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c4ccccc4OCCO)[C@H]([C@H](OC3=O)c5ccccc5)c6ccccc6)C(=O)NCC=C)c7cc(C#CCC(C(=O)OC)C(=O)OC)ccc17	C=CCNC(=O)[C@@H]1[C@H]2C(=O)O[C@H](c3ccccc3)[C@H](c3ccccc3)N2[C@H](c2ccccc2OCCO)[C@@]12C(=O)N(C(=O)OCCOC)c1ccc(C#CCC(C(=O)OC)C(=O)OC)cc12	BRD-K94991378			Drug_1556
CTRP.13	CCCCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O	CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1	AC55649			Drug_264
CTRP.130	CN1CCN(CC1)C(=O)C[C@H]1CC[C@H](NC(=O)c2ccc3OCOc3c2)[C@@H](CO)O1	CN1CCN(C(=O)C[C@H]2CC[C@H](NC(=O)c3ccc4c(c3)OCO4)[C@@H](CO)O2)CC1	BRD-K96431673			Drug_513
CTRP.131	C\C=C\c1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)c1ccccc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O	BRD-K96970199			Drug_1026
CTRP.132	CN(CCc1cc(Br)c(OCCCNc2ncnc3n(C)cnc23)c(Br)c1)C(=O)c1ccc(C)cc1	Cc1ccc(C(=O)N(C)CCc2cc(Br)c(OCCCNc3ncnc4c3ncn4C)c(Br)c2)cc1	BRD-K97651142			Drug_447
CTRP.133	CCN(CC)c1ccc(cc1)C1=NNC(=O)C[C@H]1C	CCN(CC)c1ccc(C2=NNC(=O)C[C@H]2C)cc1	BRD-K99006945			Drug_706
CTRP.134	CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@@H](NC1=O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O	CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H]([C@@H](C)CC)NC1=O)[C@@H](C)CC	BRD-K99584050			Drug_1207
CTRP.135	C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C.C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C	C[C@@H]1[C@@H](NC(=O)[C@@H]2[C@H]([C@H](C)O)[C@H](CO)ON2Cc2cccc(CN(CCN(C)C)[C@@H](c3ccccc3)C3CCCCC3)c2)C[C@H]2C[C@@H]1C2(C)C.C[C@@H]1[C@@H](NC(=O)[C@@H]2[C@H]([C@H](C)O)[C@H](CO)ON2Cc2cccc(CN(CCN(C)C)[C@H](c3ccccc3)C3CCCCC3)c2)C[C@H]2C[C@@H]1C2(C)C	BRD-M00053801			Drug_1277
CTRP.136	Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1	O=C1[C@H](Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)[C@H]2CN1Cc1cccc2ccccc12	BRD1812			Drug_676
CTRP.137	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2cc(ccc2S1(=O)=O)C#CCC1CCCC1	C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(C#CCC3CCCC3)cc2O[C@@H]1CN(C)Cc1ccc(C(=O)O)cc1	BRD1835			Drug_1268
CTRP.138	CC(C)N1C(=O)S\C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O	CC(C)N1C(=O)S/C(=C/c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O	BRD4132			Drug_1016
CTRP.139	C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1	c1ccc2[nH]c(CCn3c4ccccc4c4ccccc43)nc2c1	BRD6340			Drug_251
CTRP.14	C1=CC2=C(C=CC=N2)C(=C1)NC(=O)C(=CC3=CC=C(O3)C4=C(C=CC(=C4)Cl)Cl)C#N	N#CC(=Cc1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12	AGK-2			Drug_378
CTRP.140	CC(=O)NC[C@@H]1C[C@H](CN1)NS(=O)(=O)c1cccc2cncc(C)c12	CC(=O)NC[C@@H]1C[C@@H](NS(=O)(=O)c2cccc3cncc(C)c23)CN1	BRD8899			Drug_346
